Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-07-04,Moulin Rouge!,2001,https://boxd.it/2ZbpaR,3,,,2022-07-03
2022-07-04,How to Train Your Dragon,2010,https://boxd.it/2ZkGKP,4,,,2022-07-04
2022-07-04,How to Train Your Dragon 2,2014,https://boxd.it/2ZlzgF,3.5,,,2022-07-04
2022-07-05,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/2Zpe0J,4,,,2022-07-04
2022-07-11,Dave Chappelle: What's in a Name?,2022,https://boxd.it/30KtmV,2.5,,,2022-07-11
2022-07-11,The Virgin Suicides,1999,https://boxd.it/30Lsh3,3.5,,,2022-07-11
2022-07-13,Belladonna of Sadness,1973,https://boxd.it/30ZYMb,4,,,2022-07-12
2022-07-16,Little Miss Sunshine,2006,https://boxd.it/31ynuT,3.5,,,2022-07-15
2022-07-22,Mandy,2018,https://boxd.it/32VkYV,3.5,,,2022-07-22
2022-07-23,Scooby-Doo,2002,https://boxd.it/32YE2t,3.5,,,2022-07-22
2022-07-23,Clue,1985,https://boxd.it/330d9r,4,,,2022-07-23
2022-07-23,Ponyo,2008,https://boxd.it/337EnJ,4.5,,,2022-07-23
2022-07-24,Castle in the Sky,1986,https://boxd.it/33ktod,2,,,2022-07-24
2022-07-24,Heathers,1988,https://boxd.it/33luqh,3.5,,,2022-07-24
2022-07-25,The Nice Guys,2016,https://boxd.it/33ntFz,4.5,,,2022-07-24
2022-07-28,Dazed and Confused,1993,https://boxd.it/34wkwP,3,,,2022-07-28
2022-07-29,Pleasure,2021,https://boxd.it/34yQQV,3,,,2022-07-28
2022-07-31,Rosemary's Baby,1968,https://boxd.it/34WjIH,3.5,,,2022-07-30
2022-07-31,Boogie Nights,1997,https://boxd.it/3561vZ,4,,,2022-07-31
2022-08-01,Malignant,2021,https://boxd.it/35aNJt,2.5,,,2022-07-31
2022-08-01,Serial Mom,1994,https://boxd.it/35dbkL,3.5,,,2022-08-01
2022-08-04,Minions: The Rise of Gru,2022,https://boxd.it/35Qsdb,3.5,,,2022-08-04
2022-08-05,The Slumber Party Massacre,1982,https://boxd.it/36adiv,3,,,2022-08-05
2022-08-06,Corpse Bride,2005,https://boxd.it/36nWwN,4,,,2022-08-06
2022-08-08,BlacKkKlansman,2018,https://boxd.it/36E7WT,4,,,2022-08-07
2022-08-08,Valhalla Rising,2009,https://boxd.it/36G6oP,3,,,2022-08-07
2022-08-08,Cry-Baby,1990,https://boxd.it/36Ikc3,3.5,,,2022-08-08
2022-08-08,Polyester,1981,https://boxd.it/36REdN,3.5,,,2022-08-08
2022-08-09,Prey,2022,https://boxd.it/36TP63,4,,,2022-08-08
2022-08-09,Sinister,2012,https://boxd.it/374PWF,2.5,,,2022-08-09
2022-08-10,TTRRUUCES - The Movie,,https://boxd.it/377Vxx,4.5,,,2022-08-09
2022-08-11,Punch-Drunk Love,2002,https://boxd.it/37kwRt,2.5,,,2022-08-10
2022-08-11,Lost Highway,1997,https://boxd.it/37tvvT,3.5,,,2022-08-11
2022-08-13,Jurassic World Dominion,2022,https://boxd.it/37IDYf,1,,,2022-08-12
2022-08-13,Harold & Kumar Go to White Castle,2004,https://boxd.it/37Kwtt,4.5,,,2022-08-13
2022-08-14,Harold & Kumar Escape from Guantanamo Bay,2008,https://boxd.it/37WMYL,3.5,,,2022-08-14
2022-08-14,A Very Harold & Kumar Christmas,2011,https://boxd.it/385vsB,2.5,,,2022-08-14
2022-08-15,"Dude, Where's My Car?",2000,https://boxd.it/38arHd,4,,,2022-08-14
2022-08-20,Road Trip,2000,https://boxd.it/39b6PV,2.5,,,2022-08-20
2022-08-21,The Black Phone,2021,https://boxd.it/39ke9r,1.5,,,2022-08-20
2022-08-25,Cecil B. Demented,2000,https://boxd.it/3a8YpP,3.5,,,2022-08-24
2022-08-25,Nope,2022,https://boxd.it/3agBY9,4,,,2022-08-25
2022-08-28,The Decameron,1971,https://boxd.it/3aFz6z,3.5,,,2022-08-27
2022-09-02,I Saw the Devil,2010,https://boxd.it/3bE1xN,3,,,2022-09-02
2022-09-04,Heat,1995,https://boxd.it/3c7ElJ,5,,,2022-09-04
2022-09-05,10 Cloverfield Lane,2016,https://boxd.it/3c8RhR,3,,,2022-09-04
2022-09-05,Phantom Thread,2017,https://boxd.it/3c9lNX,3,,,2022-09-04
2022-09-05,Dogtooth,2009,https://boxd.it/3cagQ5,3,,,2022-09-04
2022-09-05,Catch Me If You Can,2002,https://boxd.it/3cbWXf,3,,,2022-09-04
2022-09-08,Thor: Love and Thunder,2022,https://boxd.it/3cUp9V,2.5,,,2022-09-08
2022-09-15,Marcel the Shell with Shoes On,2021,https://boxd.it/3e3EvT,2,,,2022-09-15
2022-09-21,Jujutsu Kaisen 0,2021,https://boxd.it/3flgyJ,4.5,,,2022-09-21
2022-09-23,Bodies Bodies Bodies,2022,https://boxd.it/3fGmab,4,,,2022-09-23
2022-09-30,Mortal Kombat Legends: Snow Blind,2022,https://boxd.it/3gUu9H,2.5,,,2022-09-29
2022-10-02,Blonde,2022,https://boxd.it/3hv1Ol,3.5,,,2022-10-02
2022-10-04,Ninja Scroll,1993,https://boxd.it/3hRejT,4,,,2022-10-04
2022-10-06,We're All Going to the World's Fair,2021,https://boxd.it/3idEW7,1.5,,,2022-10-05
2022-10-07,Hellraiser,2022,https://boxd.it/3ixYtf,3,,,2022-10-07
2022-10-07,Werewolf by Night,2022,https://boxd.it/3iykyL,4,,,2022-10-07
2022-10-12,Trick 'r Treat,2007,https://boxd.it/3jx5oN,3.5,,,2022-10-12
2022-10-12,Fast Times at Ridgemont High,1982,https://boxd.it/3jDZAR,3.5,,,2022-10-12
2022-10-14,Come and See,1985,https://boxd.it/3k3XQF,4,,,2022-10-14
2022-10-15,Lake Mungo,2008,https://boxd.it/3k4W6X,1.5,,,2022-10-14
2022-10-15,The Wolf House,2018,https://boxd.it/3k4Wd5,3.5,,,2022-10-14
2022-10-22,Pearl,2022,https://boxd.it/3lxxA1,4,,,2022-10-21
2022-10-23,The Princess Bride,1987,https://boxd.it/3lWH95,4.5,,,2022-10-23
2022-10-25,Don't Worry Darling,2022,https://boxd.it/3mg8e5,3,,,2022-10-24
2022-10-25,Barbarian,2022,https://boxd.it/3mqgEb,4.5,,,2022-10-25
2022-10-27,Black Adam,2022,https://boxd.it/3mDKzV,3.5,,,2022-10-26
2022-10-29,Decision to Leave,2022,https://boxd.it/3n2vRZ,2,,,2022-10-28
2022-10-29,Videodrome,1983,https://boxd.it/3n4zvH,4,,,2022-10-29
2022-11-04,Trainspotting,1996,https://boxd.it/3oo6y7,5,,,2022-11-03
2022-11-04,Martyrs,2008,https://boxd.it/3os4bj,4,,,2022-11-04
2022-11-05,The Texas Chain Saw Massacre,1974,https://boxd.it/3oDcHp,4,,,2022-11-05
2022-11-06,Enola Holmes 2,2022,https://boxd.it/3oSxJB,3.5,,,2022-11-06
2022-11-07,Jackass: The Movie,2002,https://boxd.it/3p8p2r,3,,,2022-11-07
2022-11-08,Jackass Number Two,2006,https://boxd.it/3pjy3l,3.5,,,2022-11-07
2022-11-14,Jackass 3D,2010,https://boxd.it/3qBfHB,3,,,2022-11-13
2022-11-15,Jackass Forever,2022,https://boxd.it/3qQ061,3.5,,,2022-11-15
2022-11-17,TÁR,2022,https://boxd.it/3rkmoh,4.5,,,2022-11-17
2022-11-17,Barbarella,1968,https://boxd.it/3rlCbv,3.5,,,2022-11-17
2022-11-18,Funny Games,1997,https://boxd.it/3rlKl9,2,,,2022-11-17
