Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Bookshelves,Exclusive Shelf,Year
"One Piece, Volume 56: Thank You",Eiichiro Oda,5,4.63,VIZ Media LLC,Paperback,216.0,2009.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 59: The Death of Portgaz D. Ace",Eiichiro Oda,3,4.7,VIZ Media LLC,Paperback,208.0,2010.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 53: Natural Born King",Eiichiro Oda,5,4.56,VIZ Media LLC,Paperback,216.0,2009.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 51: The Eleven Supernovas",Eiichiro Oda,5,4.58,VIZ Media LLC,Paperback,232.0,2008.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 54: Unstoppable",Eiichiro Oda,5,4.58,VIZ Media LLC,Paperback,208.0,2009.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 52: Roger and Rayleigh",Eiichiro Oda,5,4.62,VIZ Media LLC,Paperback,216.0,2008.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 46: Adventure on Ghost Island",Eiichiro Oda,4,4.43,VIZ Media LLC,Paperback,200.0,2007.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 47: Cloudy, Partly Bony",Eiichiro Oda,4,4.4,VIZ Media LLC,Paperback,216.0,2007.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 48: Adventures of Oars",Eiichiro Oda,4,4.41,VIZ Media LLC,Paperback,232.0,2007.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 50: Arriving Again",Eiichiro Oda,5,4.53,VIZ Media LLC,Paperback,208.0,2008.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 45: You Have My Sympathies",Eiichiro Oda,4,4.59,VIZ Media LLC,Paperback,207.0,2007.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 49: Nightmare Luffy",Eiichiro Oda,4,4.48,VIZ Media LLC,Paperback,232.0,2008.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 43: Legend of a Hero",Eiichiro Oda,4,4.57,VIZ Media LLC,Paperback,224.0,2006.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 42: Pirates vs. CP9",Eiichiro Oda,5,4.6,VIZ Media LLC,Paperback,208.0,2006.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 44: Let's Go Back",Eiichiro Oda,5,4.66,VIZ Media LLC,Paperback,232.0,2006.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 40: Gear",Eiichiro Oda,5,4.58,VIZ Media LLC,Paperback,232.0,2005.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 41: Declaration of War",Eiichiro Oda,5,4.65,VIZ Media LLC,Paperback,232.0,2006.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 39: Scramble",Eiichiro Oda,5,4.52,VIZ Media LLC,Paperback,208.0,2005.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 35: Captain",Eiichiro Oda,5,4.56,VIZ Media LLC,Paperback,192.0,2004.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 37: Tom",Eiichiro Oda,5,4.56,VIZ Media LLC,Paperback,232.0,2005.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 36: The Ninth Justice",Eiichiro Oda,5,4.55,VIZ Media LLC,Paperback,216.0,2005.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 38: Rocketman!!",Eiichiro Oda,5,4.65,VIZ Media LLC,Paperback,208.0,2005.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 33: Davy Back Fight",Eiichiro Oda,3,4.25,VIZ Media LLC,Paperback,232.0,2004.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 30: Capriccio",Eiichiro Oda,5,4.47,VIZ Media LLC,Paperback,208.0,2003.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 34: The City of Water, Water Seven",Eiichiro Oda,4,4.46,VIZ Media LLC,Paperback,232.0,2004.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 31: We'll Be Here",Eiichiro Oda,5,4.5,VIZ Media LLC,Paperback,208.0,2003.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 32: Love Song",Eiichiro Oda,4,4.48,VIZ Media LLC,Paperback,216.0,2004.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 25: The 100 Million Berry Man",Eiichiro Oda,4,4.48,VIZ Media LLC,Paperback,208.0,2002.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 29: Oratorio",Eiichiro Oda,5,4.43,VIZ Media LLC,Paperback,232.0,2003.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 26: Adventure on Kami's Island",Eiichiro Oda,4,4.4,VIZ Media LLC,Paperback,200.0,2002.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 27: Overture",Eiichiro Oda,4,4.38,VIZ Media LLC,Paperback,192.0,2003.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 22: Hope!!",Eiichiro Oda,4,4.53,VIZ Media LLC,Paperback,216.0,2002.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 20: Showdown at Alubarna",Eiichiro Oda,5,4.5,VIZ Media LLC,Paperback,216.0,2001.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 21: Utopia",Eiichiro Oda,5,4.5,VIZ Media : SHONEN JUMP,Kindle Edition,200.0,2001.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 23: Vivi's Adventure",Eiichiro Oda,5,4.57,VIZ Media LLC,Paperback,232.0,2002.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 24: People's Dreams",Eiichiro Oda,4,4.42,VIZ Media LLC,Paperback,216.0,2002.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 17: Hiriluk's Cherry Blossoms",Eiichiro Oda,5,4.51,VIZ Media LLC,Paperback,216.0,2001.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 18: Ace Arrives",Eiichiro Oda,5,4.49,VIZ Media LLC,Paperback,224.0,2001.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 19: Rebellion",Eiichiro Oda,5,4.48,VIZ Media LLC,Paperback,216.0,2001.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 12: The Legend Begins",Eiichiro Oda,4,4.45,VIZ Media LLC,Paperback,200.0,2000.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 13: It's All Right!",Eiichiro Oda,4,4.39,VIZ Media LLC,Paperback,192.0,2000.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 14: Instinct",Eiichiro Oda,5,4.36,VIZ Media LLC,Paperback,192.0,2000.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 11: The Meanest Man in the East",Eiichiro Oda,4,4.47,VIZ Media LLC,Paperback,192.0,1999.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 15: Straight Ahead!",Eiichiro Oda,4,4.4,VIZ Media LLC,Paperback,216.0,2000.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 16: Carrying On His Will",Eiichiro Oda,5,4.53,VIZ Media LLC,Paperback,192.0,2000.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 8: I Won't Die",Eiichiro Oda,5,4.52,VIZ Media LLC,Paperback,192.0,1999.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 5: For Whom the Bell Tolls",Eiichiro Oda,5,4.4,VIZ Media LLC,Paperback,189.0,1998.0,2021-02-06,manga,read,2021.0
"One Piece, Volume 9: Tears",Eiichiro Oda,5,4.58,VIZ Media LLC,Paperback,208.0,1999.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 10: OK, Let's Stand Up!",Eiichiro Oda,5,4.48,VIZ Media LLC,Paperback,192.0,1999.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 7: The Crap-Geezer",Eiichiro Oda,5,4.48,VIZ Media LLC,Paperback,200.0,1999.0,,manga,read,
"One Piece, Volume 4: The Black Cat Pirates",Eiichiro Oda,4,4.36,VIZ Media LLC,Paperback,189.0,1998.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 3: Don't Get Fooled Again",Eiichiro Oda,4,4.35,VIZ Media LLC,Paperback,195.0,1998.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 1: Romance Dawn",Eiichiro Oda,4,4.47,VIZ Media LLC,Paperback,207.0,1997.0,,manga,read,
"One Piece, Volume 2: Buggy the Clown",Eiichiro Oda,4,4.36,VIZ Media LLC,Paperback,193.0,1998.0,2021-02-07,manga,read,2021.0
"One Piece, Volume 6: The Oath",Eiichiro Oda,5,4.45,VIZ Media LLC,Paperback,187.0,1998.0,2021-02-06,manga,read,2021.0
"The Drifting Classroom, Vol. 10",Kazuo Umezu,3,3.85,VIZ Media LLC,Paperback,192.0,2008.0,,manga,read,
"The Drifting Classroom, Vol. 11",Kazuo Umezu,3,3.85,VIZ Media LLC,Paperback,192.0,2008.0,,manga,read,
"The Drifting Classroom, Vol. 9",Kazuo Umezu,3,3.87,VIZ Media LLC,Paperback,192.0,2007.0,,manga,read,
"The Drifting Classroom, Vol. 6",Kazuo Umezu,3,3.86,VIZ Media LLC,Paperback,192.0,2007.0,,manga,read,
"The Drifting Classroom, Vol. 7",Kazuo Umezu,3,3.89,VIZ Media LLC,Paperback,192.0,2007.0,,manga,read,
"The Drifting Classroom, Vol. 8",Kazuo Umezu,3,3.9,VIZ Media LLC,Paperback,192.0,2007.0,2021-02-07,manga,read,2021.0
"The Drifting Classroom, Vol. 5",Kazuo Umezu,3,3.84,VIZ Media LLC,Paperback,192.0,2007.0,,manga,read,
"The Drifting Classroom, Vol. 3",Kazuo Umezu,4,3.85,VIZ Media LLC,Paperback,208.0,2006.0,,manga,read,
"The Drifting Classroom, Vol. 2",Kazuo Umezu,4,3.97,VIZ Media LLC,Paperback,188.0,2005.0,,manga,read,
"The Drifting Classroom, Vol. 4",Kazuo Umezu,4,3.89,VIZ Media LLC,Paperback,192.0,2007.0,,manga,read,
"The Drifting Classroom, Vol. 1",Kazuo Umezu,3,3.79,VIZ Media LLC,Paperback,190.0,2004.0,2019-10-31,manga,read,2019.0
"Naruto, Vol. 16: Eulogy",Masashi Kishimoto,4,4.38,VIZ Media LLC,Paperback,200.0,2003.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 18: Tsunade's Choice",Masashi Kishimoto,4,4.35,VIZ Media LLC,Paperback,192.0,2003.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 06: Predator",Masashi Kishimoto,5,4.39,VIZ Media LLC,Paperback,192.0,2001.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 12: The Great Flight",Masashi Kishimoto,3,4.48,VIZ Media LLC,Paperback,192.0,2002.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 20: Naruto vs. Sasuke",Masashi Kishimoto,4,4.41,VIZ Media LLC,Paperback,192.0,2003.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 10: A Splendid Ninja",Masashi Kishimoto,4,4.41,VIZ Media LLC,Paperback,184.0,2001.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 19: Successor",Masashi Kishimoto,3,4.42,VIZ Media LLC,Paperback,192.0,2003.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 17: Itachi's Power",Masashi Kishimoto,4,4.39,VIZ Media LLC,Paperback,192.0,2003.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 09: Neji vs. Hinata",Masashi Kishimoto,4,4.51,VIZ Media LLC,Paperback,184.0,2001.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 15: Naruto's Ninja Handbook!",Masashi Kishimoto,4,4.43,VIZ Media LLC,Paperback,192.0,2002.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 03: Dreams",Masashi Kishimoto,4,4.45,VIZ Media LLC,Paperback,208.0,2000.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 04: Hero’s Bridge",Masashi Kishimoto,4,4.49,VIZ Media LLC,Paperback,184.0,2000.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 07: The Path You Should Tread",Masashi Kishimoto,5,4.46,VIZ Media LLC,Paperback,192.0,2001.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 1: Uzumaki Naruto",Masashi Kishimoto,4,4.41,VIZ Media,Paperback,187.0,1999.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 11: Impassioned Efforts",Masashi Kishimoto,5,4.56,VIZ Media LLC,Paperback,192.0,2002.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 05: The Challengers",Masashi Kishimoto,3,4.5,VIZ Media LLC,Paperback,181.0,2000.0,2019-08-26,manga,read,2019.0
"Naruto, Vol. 02: The Worst Client",Masashi Kishimoto,3,4.45,VIZ Media LLC,Paperback,216.0,2000.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 1: The Monkey King",Akira Toriyama,5,4.43,"VIZ Media, LLC",Paperback,192.0,1985.0,2019-08-26,manga,read,2019.0
DRAGON BALL 6,Akira Toriyama,4,4.36,集英社 [Shūeisha],Paperback,236.0,2003.0,2019-08-26,manga,read,2019.0
Dragonball Z: Volume 8 - Goku Versus Ginyu,Akira Toriyama,5,4.33,"Viz Communications, Inc",Paperback,184.0,1991.0,2016-04-08,manga,read,2016.0
DRAGONBALL Z 16,Akira Toriyama,4,4.31,,,,1992.0,2016-04-08,manga,read,2016.0
"Dragon Ball, Vol. 14: Heaven and Earth",Akira Toriyama,4,4.4,"VIZ Media, LLC",Paperback,192.0,1988.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 15: The Titanic Tournament",Akira Toriyama,4,4.39,"VIZ Media, LLC",Paperback,192.0,1988.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 2",Akira Toriyama,3,4.47,VIZ Media LLC,Paperback,531.0,2008.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 16: Goku vs. Piccolo",Akira Toriyama,5,4.44,"VIZ Media, LLC",Paperback,216.0,1989.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 5: The Red Ribbon Army",Akira Toriyama,3,4.41,"VIZ Media, LLC",Paperback,192.0,1987.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 6: Bulma Returns!",Akira Toriyama,4,4.4,"VIZ Media, LLC",Paperback,192.0,1987.0,2016-04-08,manga,read,2016.0
"Dragon Ball, Vol. 3: The Training of Kame-Sen'nin",Akira Toriyama,5,4.46,"VIZ Media, LLC",Paperback,192.0,1984.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 4: Strongest Under the Heavens",Akira Toriyama,5,4.46,"VIZ Media, LLC",Paperback,192.0,1986.0,2016-04-08,manga,read,2016.0
"Dragon Ball, Vol. 2: Wish Upon a Dragon",Akira Toriyama,5,4.44,"VIZ Media, LLC",Paperback,192.0,1986.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 23: Boo Unleashed!",Akira Toriyama,4,4.3,"VIZ Media, LLC",Paperback,192.0,1994.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 9: The Wrath of Freeza",Akira Toriyama,5,4.37,"VIZ Media, LLC",Paperback,192.0,1991.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 6: Battlefield Namek",Akira Toriyama,4,4.29,"VIZ Media, LLC",Paperback,192.0,1990.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 15: The Terror of Cell",Akira Toriyama,4,4.33,"VIZ Media, LLC",Paperback,192.0,1992.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 21: Tournament of the Heavens",Akira Toriyama,4,4.29,"VIZ Media, LLC",Paperback,200.0,1994.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 11: The Super Saiyan",Akira Toriyama,4,4.48,VIZ Media: SHONEN JUMP,Kindle Edition,192.0,1991.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 20: The New Generation",Akira Toriyama,4,4.27,"VIZ Media, LLC",Paperback,192.0,1993.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 14: Rise of the Machines",Akira Toriyama,5,4.29,"VIZ Media, LLC",Paperback,192.0,1992.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 13: The Red Ribbon Androids",Akira Toriyama,5,4.34,"VIZ Media, LLC",Paperback,200.0,1992.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 22: Mark of the Warlock",Akira Toriyama,3,4.29,"VIZ Media, LLC",Paperback,192.0,1994.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 24: Hercule to the Rescue",Akira Toriyama,4,4.33,"VIZ Media, LLC",Paperback,192.0,1995.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 3: Earth vs. the Saiyans",Akira Toriyama,4,4.41,"VIZ Media, LLC",Paperback,192.0,1989.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 25: Last Hero Standing!",Akira Toriyama,4,4.37,"VIZ Media, LLC",Paperback,240.0,1995.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 17: The Cell Game",Akira Toriyama,4,4.37,"VIZ Media, LLC",Paperback,192.0,1992.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 7: The Ginyu Force",Akira Toriyama,4,4.32,"VIZ Media, LLC",Paperback,192.0,1990.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 9: Test of the All-Seeing Crone",Akira Toriyama,4,4.33,"VIZ Media, LLC",Paperback,192.0,1987.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 19: Death of a Warrior",Akira Toriyama,4,4.44,"VIZ Media, LLC",Paperback,184.0,1993.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 10: Goku vs. Freeza",Akira Toriyama,4,4.44,"VIZ Media, LLC",Paperback,192.0,1991.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 26: Goodbye Dragon World!",Akira Toriyama,5,4.47,"VIZ Media, LLC",Paperback,248.0,1995.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 4: Goku vs. Vegeta",Akira Toriyama,3,4.41,Viz Communications,Paperback,192.0,1990.0,2016-04-08,manga,read,2016.0
"Dragon Ball Z, Vol. 1: The World's Greatest Team",Akira Toriyama,4,4.49,"VIZ Media, LLC",Paperback,192.0,1989.0,2016-04-08,manga,read,2016.0
"Dragon Ball, Vol. 1",Akira Toriyama,5,4.44,VIZ Media LLC,Paperback,560.0,2008.0,2019-08-26,manga,read,2019.0
"Dragon Ball Z, Vol. 2: The Lord of Worlds",Akira Toriyama,4,4.51,"VIZ Media, LLC",Paperback,192.0,1989.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 7: General Blue and the Pirate Treasure",Akira Toriyama,3,4.37,"VIZ Media, LLC",Paperback,192.0,1987.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 10: Return to the Tournament",Akira Toriyama,4,4.35,"VIZ Media, LLC",Paperback,192.0,1987.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 13: Piccolo Conquers the World",Akira Toriyama,3,4.38,"VIZ Media, LLC",Paperback,192.0,1988.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 12: The Demon King Piccolo",Akira Toriyama,4,4.37,"VIZ Media, LLC",Paperback,200.0,1988.0,2016-04-08,manga,read,2016.0
"Dragon Ball, Vol. 11: The Eyes of Tenshinhan",Akira Toriyama,2,4.39,"VIZ Media, LLC",Paperback,192.0,1988.0,2019-08-25,manga,read,2019.0
"Dragon Ball Z, Vol. 5: Dragon Ball in Space",Akira Toriyama,3,4.31,"VIZ Media, LLC",Paperback,192.0,1990.0,2019-08-26,manga,read,2019.0
"Dragon Ball, Vol. 8: Taopaipai and Master Karin",Akira Toriyama,4,4.33,"VIZ Media, LLC",Paperback,192.0,1987.0,2019-08-26,manga,read,2019.0
